"","Species","Limb.Width","Limb.Length","Observer","Limb.Volume"
"1","Drosophila melanogaster",2.34279162242981,8.28666677677121,"A",35.7221081893875
"2","Drosophila melanogaster",2.33713611814033,8.51494823006928,"A",36.5291786513706
"3","Drosophila melanogaster",2.22235071583118,9.82158485060465,"A",38.0975150223921
"4","Drosophila melanogaster",2.48365613818763,8.131032558653,"A",39.3929510849181
"5","Drosophila melanogaster",2.63928249285062,7.35184654505879,"A",40.2214820173306
"6","Drosophila melanogaster",2.44809657201829,8.74509770508176,"A",41.163437880396
"7","Drosophila melanogaster",2.30981904401288,11.2566873311286,"A",47.1689707615684
"8","Drosophila melanogaster",2.43600040761325,10.517437635607,"A",49.0178817868724
"9","Drosophila melanogaster",2.63260327415986,9.26772191245299,"A",50.4468100632434
"10","Drosophila melanogaster",2.51110861255554,10.2123587964866,"A",50.5762868017521
"11","Drosophila melanogaster",2.5300653477937,10.5764368257129,"A",53.1731927473399
"12","Drosophila melanogaster",2.67447434762035,9.51870310335773,"A",53.4742295161965
"13","Drosophila melanogaster",2.54361586682281,10.5511103187021,"A",53.6155908181914
"14","Drosophila melanogaster",2.5774695030449,10.3679630422814,"A",54.0966525894122
"15","Drosophila melanogaster",2.54094868450089,10.7821170826376,"A",54.6746124915238
"16","Drosophila melanogaster",2.61041272679186,10.2832344856838,"A",55.0348740186848
"17","Drosophila melanogaster",2.73230577843251,9.39863135394421,"A",55.1078030983824
"18","Drosophila melanogaster",2.84312672565384,8.74759615993781,"A",55.5355455093808
"19","Drosophila melanogaster",2.76562873062796,9.34777426567077,"A",56.1546667270709
"20","Drosophila melanogaster",2.68204218647967,9.96705614331606,"A",56.3103199990906
"21","Drosophila melanogaster",2.69960749859203,9.94490565631241,"A",56.9235268910288
"22","Drosophila melanogaster",2.64560012233127,10.7638617059645,"A",59.1706574322666
"23","Drosophila melanogaster",2.75397804061855,10.1093722828934,"A",60.2192049405976
"24","Drosophila melanogaster",2.64471003238958,11.1009368622563,"A",60.9825582475929
"25","Drosophila melanogaster",2.7297142987807,10.5856568674337,"A",61.9501101642699
"26","Drosophila melanogaster",2.77592974027437,10.3876714330966,"A",62.8673313142568
"27","Drosophila melanogaster",2.81666134140105,10.1588579115746,"A",63.300047176102
"28","Drosophila melanogaster",2.9309365957876,9.48913605654069,"A",64.0220243347872
"29","Drosophila melanogaster",2.95864184636201,9.57557881506255,"A",65.8324029605722
"30","Drosophila melanogaster",2.93949291338461,9.75949932650558,"A",66.231143728842
"31","Drosophila melanogaster",3.24720077331299,8.04622086235327,"A",66.6346489801312
"32","Drosophila melanogaster",2.88289966243082,10.3200821378634,"A",67.3646549828925
"33","Drosophila melanogaster",2.87412940199699,10.3948883228941,"A",67.4407426755305
"34","Drosophila melanogaster",2.9976443118433,9.86995379894503,"A",69.6570697388533
"35","Drosophila melanogaster",2.88147085231306,10.9007532028494,"A",71.0844897141021
"36","Drosophila melanogaster",2.91853932523915,10.7997328730967,"A",72.2493582544732
